physical_gpu,rank,case,gpu_span_ms,gpu_start_ns,gpu_end_ns,transfer_interiors_ms,compute_overlapping_transfer_ms,nvtx_start_ns,selection,note
2,4,reverse_serial,8.551807,18520542582,18529094389,3.235712,0.0,18515887993,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
2,4,reverse_overlap,6.173568,18669361258,18675534826,3.920352,3.025216,18669334560,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
3,6,forward_serial,16.962041,18069653093,18086615134,12.813795,0.0,18069621351,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
3,6,forward_overlap,10.797895,18058584447,18069382342,9.631594,2.428058,18058291868,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
3,6,reverse_serial,8.535341,18520659047,18529194388,3.237049,0.0,18515933192,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
3,6,reverse_overlap,6.235474,18596332380,18602567854,3.781496,2.885722,18596301688,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
4,1,forward_serial,16.610575,18069651441,18086262016,9.510661,0.0,18069620911,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
4,1,forward_overlap,10.814561,18058563025,18069377586,9.615908,2.328027,18058271219,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
4,1,reverse_serial,8.541608,18520463389,18529004997,3.236087,0.0,18515884683,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
4,1,reverse_overlap,6.127567,18596326089,18602453656,3.708502,2.80924,18596301278,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
5,3,forward_serial,16.833034,18069652139,18086485173,9.603727,0.0,18069621711,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
5,3,forward_overlap,10.814729,18058564131,18069378860,9.623822,2.334643,18058270859,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
5,3,reverse_serial,8.549845,18520422403,18528972248,3.237648,0.0,18515900873,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
5,3,reverse_overlap,6.123169,18669365599,18675488768,3.827692,2.936018,18669338270,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
6,5,forward_serial,16.578031,18069653526,18086231557,9.501797,0.0,18069624271,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
6,5,forward_overlap,10.804128,18058566263,18069370391,9.631044,2.303897,18058278248,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
6,5,reverse_serial,8.538216,18520462556,18529000772,3.238295,0.0,18515890713,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
6,5,reverse_overlap,6.121199,18669366906,18675488105,3.698358,2.798872,18669339750,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
7,7,forward_serial,13.568996,17874246935,17887815931,9.513101,0.0,17874209866,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
7,7,forward_overlap,10.807178,18058586115,18069393293,9.629292,2.794778,18058278228,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
7,7,reverse_serial,8.611919,18626369230,18634981149,3.238042,0.0,18626310377,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
7,7,reverse_overlap,6.592083,18602921755,18609513838,3.899833,3.003643,18601342673,Median GPU span of last three invocations (two warmed calls and one timed call in this profile).,"Kernel times from GPU events, scope via CUDA correlation + process + same-thread containing NVTX. Transfer windows are barrier interiors, not wire counters."
